,city_name,country,cloudiness,humidity,lat,lng,temperature,max_temp,wind speed,date
138,baruun-urt,mn,0.0,28.0,46.68,113.28,45.25,45.25,5.19,1554174942
139,tadine,nc,0.0,90.0,-21.55,167.88,81.16,81.16,8.55,1554174678
140,provideniya,ru,90.0,74.0,64.42,-173.23,33.8,33.8,6.71,1554172200
141,suntar,ru,68.0,56.0,62.16,117.65,35.35,35.35,7.87,1554174678
143,chokurdakh,ru,20.0,91.0,70.62,147.9,9.43,9.43,13.35,1554174822
144,georgetown,sh,75.0,78.0,-7.93,-14.42,80.6,80.6,13.87,1554169800
145,wanning,cn,100.0,100.0,18.8,110.4,74.14,74.14,8.21,1554174678
146,fortuna,us,40.0,100.0,40.6,-124.16,53.96,57.0,4.7,1554174807
147,busselton,au,0.0,32.0,-33.64,115.35,72.23,75.0,5.53,1554174724
149,ancud,cl,90.0,100.0,-41.87,-73.83,53.6,53.6,5.82,1554170400
150,riihimaki,fi,0.0,92.0,60.74,24.78,29.71,32.0,5.82,1554174665
151,kodiak,us,1.0,24.0,39.95,-94.76,45.97,48.0,11.41,1554174731
152,bluff,nz,76.0,69.0,-46.6,168.33,57.0,57.0,5.01,1554174605
153,assiniboia,ca,56.0,56.0,49.63,-105.99,39.4,39.4,14.36,1554174679
154,jamestown,sh,76.0,100.0,-15.94,-5.72,76.57,76.57,18.28,1554174814
155,ojinaga,mx,1.0,19.0,29.57,-104.42,60.33,66.2,3.74,1554174044
157,bredasdorp,za,68.0,89.0,-34.53,20.04,54.0,54.0,1.01,1554174087
159,guerrero negro,mx,0.0,49.0,27.97,-114.04,64.24,64.24,6.64,1554174680
160,burnie,au,12.0,52.0,-41.05,145.91,64.99,64.99,5.99,1554174484
161,faanui,pf,88.0,100.0,-16.48,-151.75,85.21,85.21,5.97,1554174944
162,atuona,pf,8.0,100.0,-9.8,-139.03,82.51,82.51,9.89,1554174831
163,kabalo,cd,32.0,97.0,-6.05,26.92,69.46,69.46,3.06,1554174680
164,tasiilaq,gl,76.0,68.0,65.61,-37.64,24.8,24.8,16.11,1554169800
165,east london,za,92.0,100.0,-33.02,27.91,63.52,63.52,11.9,1554174611
166,new norfolk,au,75.0,42.0,-42.78,147.06,65.08,66.99,3.36,1554174138
167,broome,au,75.0,70.0,-17.97,122.23,87.8,87.8,8.05,1554170400
168,yangjiang,cn,92.0,73.0,21.85,111.96,71.01,71.01,19.06,1554174487
170,glendive,us,90.0,69.0,47.11,-104.71,37.83,41.0,9.17,1554173700
171,lebu,cl,24.0,95.0,-37.62,-73.65,55.33,55.33,8.55,1554174816
172,avarua,ck,12.0,69.0,-21.21,-159.78,80.6,80.6,13.87,1554172200
173,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
174,aquiraz,br,75.0,94.0,-3.9,-38.39,76.33,77.0,8.05,1554174495
175,margate,za,88.0,84.0,-30.86,30.37,67.93,67.93,14.81,1554174945
176,konevo,ru,0.0,79.0,56.45,43.2,30.85,34.0,4.47,1554174071
177,upernavik,gl,48.0,100.0,72.79,-56.15,13.93,13.93,6.42,1554174816
178,hambantota,lk,0.0,83.0,6.12,81.12,82.4,82.4,4.7,1554171000
179,albany,au,75.0,68.0,-35.02,117.88,64.4,64.4,9.17,1554170400
180,new norfolk,au,75.0,42.0,-42.78,147.06,65.08,66.99,3.36,1554174138
181,rikitea,pf,0.0,100.0,-23.12,-134.97,76.12,76.12,16.71,1554174807
182,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
183,rikitea,pf,0.0,100.0,-23.12,-134.97,76.12,76.12,16.71,1554174807
